model,precision,resolution,hardware,fps,latency_ms,size_mb,map50,A_norm,F_norm,S_norm,utility,feasible,constraint_violation,pareto_optimal
YOLOv8s,INT8 Dynamic,640,GPU1,25.911,38.59364748562386,42.79,0.707891,0.8026521523264691,0.3430474502485023,0.41052303213060204,0.42213570481166485,True,0.0,False
YOLOv8s,FP32,640,GPU1,25.7842,38.78344102202124,42.79,0.707891,0.8026521523264691,0.3413213431509078,0.41052303213060204,0.4216178726823865,True,0.0,False
YOLOv8n,FP16,640,GPU1,19.7382,50.66318103981113,6.14,0.679815,0.6986261272944191,0.2590181608791712,0.029427056254549232,0.42113310066005105,True,0.0,False
YOLOv8m,FP16,320,GPU2,50.3925,19.84422285062261,49.45,0.660755,0.6280058096882479,0.6763099968554358,0.47977539773318084,0.4209408243541185,True,0.0,True
YOLOv8s,INT8 Dynamic,320,GPU2,67.5562,14.802490370980014,42.67,0.614202,0.45551957435141216,0.9099565614530882,0.4092752417593844,0.4188917072597556,False,0.035797999999999996,True
YOLOv8s,FP32,320,GPU2,67.1662,14.888440912244551,42.67,0.614202,0.45551957435141216,0.9046475569731052,0.4092752417593844,0.4172990059157607,False,0.035797999999999996,False
YOLOv8n,INT8 Static,1280,CPU2,6.0194,166.12951456955844,3.91,0.704724,0.7909179159225475,0.07226644123816875,0.006238951856088178,0.4158910999615067,False,0.6612951456955843,False
YOLOv8m,FP16,1280,GPU1,5.1841,192.89751355105037,49.75,0.757309,0.9857536662541591,0.060895642668605136,0.48289487366122485,0.4145665511954161,False,0.9289751355105037,False
YOLOv8m,FP16,640,GPU1,19.2476,51.95452939587273,49.51,0.723527,0.8605860078401152,0.2523397054999925,0.4803992929187896,0.4099150569862975,True,0.0,False
YOLOv8n,INT8 Static,1280,CPU1,4.0739,245.46503350597703,3.91,0.70467,0.790717837373191,0.0457826765822535,0.006238951856088178,0.4078459312900539,False,1.4546503350597704,False
YOLOv8m,FP16,1280,CPU2,2.3095,432.9941545789132,49.75,0.75846,0.9900183034821078,0.021764195801530353,0.48289487366122485,0.40495943574926807,False,3.329941545789132,False
YOLOv8m,INT8 Static,640,GPU1,11.8089,84.68189247093295,25.34,0.708243,0.8039563680556069,0.15107793210191656,0.22907351564937092,0.40148686052850424,True,0.0,False
YOLOv8n,FP16,640,CPU1,13.5533,73.78276877218094,6.14,0.681476,0.7047803952662897,0.17482415624264058,0.029427056254549232,0.39895203325502715,True,0.0,False
YOLOv8m,INT8 Static,320,GPU2,44.1233,22.66376268320819,25.22,0.635499,0.534428331122589,0.5909684304813089,0.22782572527815326,0.39893954965005657,False,0.014500999999999986,False
YOLOv8s,INT8 Static,640,CPU2,11.552,86.56509695290859,11.14,0.691228,0.7409130992167294,0.14758079556112774,0.08141832172195071,0.3984471239323129,True,0.0,False
YOLOv8s,INT8 Dynamic,640,CPU2,19.5231,51.22137365479868,42.79,0.707885,0.8026299213765404,0.2560900407159805,0.41052303213060204,0.396037366476944,True,0.0,False
YOLOv8s,FP32,640,CPU2,19.322,51.75447676223994,42.79,0.707885,0.8026299213765404,0.25335250020078925,0.41052303213060204,0.39521610432238663,True,0.0,False
YOLOv8s,FP16,320,GPU1,50.7065,19.721337501109325,21.35,0.614227,0.45561220330944735,0.6805844261034221,0.18758448580638457,0.39446453232447337,False,0.035773000000000055,False
YOLOv8m,FP16,1280,CPU1,0.9149,1093.0156301235106,49.75,0.755405,0.9786990448101848,0.0027797402943911054,0.48289487366122485,0.39360446976116475,False,9.930156301235106,False
YOLOv8m,INT8 Static,640,CPU2,6.2983,158.77300223869932,25.34,0.715222,0.829814667980763,0.0760630600829566,0.22907351564937092,0.3919115488853943,False,0.5877300223869932,False
YOLOv8s,FP16,640,CPU1,6.7362,148.4516492978237,21.41,0.709287,0.8078245533431644,0.08202411921573753,0.18820838099199336,0.39087783623790473,False,0.48451649297823707,False
YOLOv8n,INT8 Dynamic,640,CPU1,15.0983,66.23262221574615,12.26,0.679877,0.6988558471103469,0.1958559816825733,0.09306436518664864,0.3895718450226157,True,0.0,False
