model,precision,resolution,hardware,fps,latency_ms,size_mb,map50
YOLOv8n,FP32,320,GPU2,69.8035,14.325929215583745,12.14,0.518815
YOLOv8s,FP32,320,GPU2,67.1662,14.888440912244551,42.67,0.614202
YOLOv8m,FP32,320,GPU2,56.2887,17.76555507588557,98.88,0.66091
YOLOv8n,FP32,640,GPU2,43.7517,22.856254728387697,12.26,0.67987
YOLOv8s,FP32,640,GPU2,40.6903,24.575881721196453,42.79,0.707891
YOLOv8m,FP32,640,GPU2,35.0169,28.55763931130397,99.0,0.723554
YOLOv8n,FP32,1280,GPU2,17.9713,55.644277264304755,12.74,0.725816
YOLOv8s,FP32,1280,GPU2,15.8469,63.10382472281645,43.27,0.760824
YOLOv8m,FP32,1280,GPU2,13.1702,75.92899120742283,99.48,0.757285
YOLOv8n,FP16,320,GPU2,63.8759,15.655356715130432,6.08,0.520139
YOLOv8s,FP16,320,GPU2,57.6318,17.351531619696072,21.35,0.614337
YOLOv8m,FP16,320,GPU2,50.3925,19.844222850622614,49.45,0.660755
YOLOv8n,FP16,640,GPU2,34.2168,29.225409740244558,6.14,0.679815
YOLOv8s,FP16,640,GPU2,30.1633,33.15287120441066,21.41,0.709162
YOLOv8m,FP16,640,GPU2,30.4514,32.83921264703758,49.51,0.723568
YOLOv8n,FP16,1280,GPU2,13.2606,75.41136901799315,6.38,0.725643
YOLOv8s,FP16,1280,GPU2,12.4568,80.27743882859161,21.65,0.761018
YOLOv8m,FP16,1280,GPU2,10.7555,92.97568685788667,49.75,0.757326
YOLOv8n,INT8 Dynamic,320,GPU2,74.1708,13.482394689015084,12.14,0.518815
YOLOv8s,INT8 Dynamic,320,GPU2,67.5562,14.802490370980014,42.67,0.614202
YOLOv8m,INT8 Dynamic,320,GPU2,60.999,16.39371137231758,98.88,0.66091
YOLOv8n,INT8 Dynamic,640,GPU2,45.9126,21.780513410262106,12.26,0.67987
YOLOv8s,INT8 Dynamic,640,GPU2,41.3695,24.17239753924993,42.79,0.707891
YOLOv8m,INT8 Dynamic,640,GPU2,36.8402,27.144260888920254,99.0,0.723554
YOLOv8n,INT8 Dynamic,1280,GPU2,18.1003,55.247703076744585,12.74,0.725816
YOLOv8s,INT8 Dynamic,1280,GPU2,16.5224,60.52389483368033,43.27,0.760824
YOLOv8m,INT8 Dynamic,1280,GPU2,13.1065,76.29802006637928,99.48,0.757285
YOLOv8n,INT8 Static,320,GPU2,57.1072,17.510926818334642,3.31,0.505161
YOLOv8s,INT8 Static,320,GPU2,51.9161,19.261847480839275,11.02,0.564533
YOLOv8m,INT8 Static,320,GPU2,44.1233,22.66376268320819,25.22,0.635499
YOLOv8n,INT8 Static,640,GPU2,39.398,25.38199908624803,3.43,0.658794
YOLOv8s,INT8 Static,640,GPU2,37.0933,26.95904651244295,11.14,0.684049
YOLOv8m,INT8 Static,640,GPU2,30.265,33.04146704113663,25.34,0.708243
YOLOv8n,INT8 Static,1280,GPU2,16.6463,60.07340970666154,3.91,0.710115
YOLOv8s,INT8 Static,1280,GPU2,14.3319,69.77441930239536,11.62,0.733685
YOLOv8m,INT8 Static,1280,GPU2,11.0798,90.25433672087944,25.82,0.747494
YOLOv8n,FP32,320,CPU2,67.3956,14.837763889630777,12.14,0.521438
YOLOv8s,FP32,320,CPU2,47.6566,20.983452449398406,42.67,0.614228
YOLOv8m,FP32,320,CPU2,29.9098,33.433857799116005,98.88,0.660906
YOLOv8n,FP32,640,CPU2,27.9382,35.79328661116321,12.26,0.679877
YOLOv8s,FP32,640,CPU2,19.322,51.75447676223994,42.79,0.707885
YOLOv8m,FP32,640,CPU2,10.9177,91.59438343240792,99.0,0.723569
YOLOv8n,FP32,1280,CPU2,7.9756,125.38241636992828,12.74,0.725776
YOLOv8s,FP32,1280,CPU2,5.2124,191.85020336121556,43.27,0.760904
YOLOv8m,FP32,1280,CPU2,2.8821,346.9692238298463,99.48,0.757325
YOLOv8n,FP16,320,CPU2,57.9423,17.258548590580627,6.09,0.520132
YOLOv8s,FP16,320,CPU2,43.4874,22.99516641601935,21.35,0.614328
YOLOv8m,FP16,320,CPU2,28.3625,35.25782282944028,49.45,0.663455
YOLOv8n,FP16,640,CPU2,22.2073,45.03023780468585,6.14,0.67981
YOLOv8s,FP16,640,CPU2,16.2747,61.445065039601346,21.41,0.707883
YOLOv8m,FP16,640,CPU2,9.5101,105.1513653904796,49.51,0.723518
YOLOv8n,FP16,1280,CPU2,6.3933,156.41374563996683,6.38,0.725676
YOLOv8s,FP16,1280,CPU2,4.3144,231.78193955127017,21.65,0.761036
YOLOv8m,FP16,1280,CPU2,2.3095,432.9941545789132,49.75,0.75846
YOLOv8n,INT8 Dynamic,320,CPU2,64.7625,15.441034549314804,12.14,0.521438
YOLOv8s,INT8 Dynamic,320,CPU2,47.6578,20.982924096370372,42.67,0.614228
YOLOv8m,INT8 Dynamic,320,CPU2,30.747,32.52349822746935,98.88,0.660906
YOLOv8n,INT8 Dynamic,640,CPU2,28.0307,35.67517043812677,12.26,0.679877
YOLOv8s,INT8 Dynamic,640,CPU2,19.5231,51.221373654798676,42.79,0.707885
YOLOv8m,INT8 Dynamic,640,CPU2,11.1965,89.31362479346224,99.0,0.723569
